aaron           nora aaron, nor aaron
lenin           nine lenin
leona           leona noel
leone           leone noel
level           level
levelled        del levelled
levels          levels level
levers          levers revel
liar            liar ail
liars           liars rail
liens           liens neil
lila            ali lila
lillian         nail lillian
limes           limes emil, semi limes
lind            lind nil
line            line nil
link            link nil
lint            lint nil
lion            lion oil
lived           lived evil
liver           liver evil
lives           lives evil
loner           reno loner
loom            moo loom
loops           loops pool
loot            too loot
loots           loots tool
loren           nero loren
lose            lose sol
loss            loss sol
losses          losses sol
lost            lost sol
lulled          del lulled
lung            gnu lung
lyle            ely lyle
lyman           lyman amyl
mace            mace cam
mach            mach cam
madam           madam, madam adam
madame          madame madam
made            made dam
mailed          delia mailed
mallets         stella mallets
mammals         slam mammals
mammas          sam mammas
maori           maori roam
maps            maps pam, spa maps
marc            marc ram
march           march cram
marco           marco cram
marcy           marcy cram
mardi           mardi dram
mare            mare ram, era mare
margo           margo gram
mark            mark ram
mars            mars ram
mart            mart ram
marx            marx ram
mary            mary ram
mash            mash sam
mask            mask sam
mass            mass sam
masses          masses sam
mast            mast sam
mavis           siva mavis
media           media idem, aide media
medic           medic idem
meets           meets teem
memoir          rio memoir
memos           some memos
mere            ere mere
merit           tire merit
meson           nose meson
meta            ate meta
metal           late metal
metals          slate metals
miami           miami maim
midsts          midsts dim
mike            mike kim
mile            eli mile
mira            mira rim
mire            mire rim
mirror          mirror rim
mirth           mirth trim
mohr            mohr hom, rho mohr
moods           moods doom
moody           moody doom
moore           moore room
moors           moors room
moot            too moot
mortem          metro mortem
moth            moth tom
motto           otto motto
mugs            mugs gum
mung            gnu mung
murdered        murdered rum
muse            muse sum
mush            mush sum
musk            musk sum
must            must sum
myriad          dairy myriad
nabla           alba nabla
nadia           aida nadia
nail            nail ian
nailed          delia nailed
nair            nair ian
name            name man
nan             nan
nanette         nanette nan
naomi           naomi moan
naps            naps pan, spa naps
nary            nary ran
nasa            nasa san
nash            nash san
nate            nate tan
nato            nato tan
naval           lava naval
navy            navy van
nazi            nazi zan
near            rae near
need            dee need
neff            neff fen
neil            lie neil
nell            nell len
nero            ore nero
nets            nets ten
never           never even
newell          newell ewen
newer           newer ewen
niagara         niagara gain
nigh            nigh gin
nile            nile lin, eli nile
nips            nips pin
nodded          nodded don
node            node don
nods            nods don
noel            leo noel
noises          noises ion
non             non
