gibe            gibe big
gift            gift fig
gig             gig
gigolo          gigolo gig
gigolos         solo gigolos
gigs            gigs gig
gird            gird rig
girded          girded rig
girl            girl rig
giro            giro rig
girt            girt rig
girth           girth trig
git             ti git
glee            eel glee
gnash           gnash sang
gnat            tan gnat
gnats           gnats tang
gnaw            wan gnaw
gnaws           swan gnaws
gnus            sun gnus
gobs            gobs bog
god             do god
gods            gods dog
gold            gold log
golf            golf log
gorge           gorge grog
got             to got
goth            goth tog
gown            gown wog
grab            bar grab
grail           liar grail
gram            mar gram
gratis          sitar gratis
greed           deer greed
greens          sneer greens
greets          steer greets
grey            yer grey
grime           emir grime
grits           stir grits
groom           moor groom
grub            bur grub
guff            guff fug
gulf            gulf lug, flu gulf
gull            gull lug
gulp            gulp lug
gulps           gulps plug
gums            gums mug
guru            guru rug
guts            guts tug
gym             my gym
gyps            spy gyps
had             had ah
hag             hag ah
hah             hah, hah ah, ha hah
haj             haj ah
hajj            hajj ah
halal           halal ah
hall            hall ah
ham             ham ah, ma ham
hand            hand nah
handed          handed nah
hang            hang nah
hank            hank nah
hare            era hare
hares           sera hares
has             has ah
hasps           hasps ah
hat             hat ah, ta hat
haw             haw ah
hay             hay ah
heel            lee heel
hell            hell eh
hem             hem eh, me hem
hen             hen eh
her             her eh, re her
here            ere here
hero            ore hero
herons          snore herons
hew             hew eh, we hew
hex             hex eh
hey             hey eh, ye hey
him             mi him
hip             pi hip
hit             ti hit
hob             hob oh
hod             hod oh, do hod
hods            hods doh
hoe             hoe oh
hog             hog oh, go hog
homed           demo homed
hood            hood ooh
hooded          hooded ooh
hoof            hoof ooh
hook            hook ooh
hoop            hoop ooh, poo hoop
hoops           hoops pooh
hoot            hoot ooh, too hoot
hop             hop oh
hosanna         hosanna soh
hose            hose soh
hosepipe        hosepipe soh
hosepipes       hosepipes oh
hoses           hoses oh
host            host soh
hosts           hosts oh
hot             hot oh, to hot
how             how oh
hub             hub uh
hue             hue uh
huff            huff uh
hug             hug uh
huh             huh, huh uh
hull            hull uh
hum             hum uh
hung            gnu hung
husks           husks uh
hut             hut uh
ices            sec ices
icier           re icier
idem            med idem
idiom           mo idiom
idiot           to idiot
illicit         tic illicit
imam            mam imam
imp             imp mi
inward          drawn inward
ion             ion oi, no ion
ire             er ire
iris            sir iris
iron            nor iron
item            met item
its             its ti
jam             ma jam
jeep            pee jeep
jog             go jog
jot             to jot
joy             yo joy
kayak           kayak
kayaks          kayaks kayak
kebab           babe kebab
keel            keel eek, lee keel
keels           keels leek
keen            keen eek, nee keen
keep            keep eek, pee keep
keeps           keeps peek
key             ye key
kiosks          kiosks oik
kip             pi kip
kit             ti kit
knees           seen knees
knife           knife fink
knit            knit ink, tin knit
knobs           knobs bonk
knock           knock conk
knot            ton knot
know            won know
known           known wonk
knows           knows wonk
kook            kook
kooks           kooks kook
kooky           kooky kook
krill           krill irk
lagers          lagers regal
lags            lags gal
lap             pa lap
laps            laps pal, spa laps
lapses          lapses pal
lauds           lauds dual
lean            nae lean
leek            leek eel
leeks           leeks keel
leer            leer eel
leers           leers reel
leery           leery reel
lees            lees eel, see lees
legs            legs gel
lepers          lepers repel
lesion          noise lesion
level           level
leveler         re leveler
levels          levels level
levers          levers revel
liar            liar ail
liars           liars rail
lilos           so lilos
limes           semi limes
line            line nil
ling            ling nil
link            link nil
lino            lino nil
lint            lint nil
lion            lion oil
lip             pi lip
lit             ti lit
lite            lite til
lived           lived evil
liven           liven evil
liver           liver evil
lives           lives evil
llama           llama mall
loch            loch col
loci            loci col
lock            lock col
loco            loco col
log             go log
loom            moo loom
loop            poo loop
loops           loops pool
loopy           loopy pool
loot            too loot
looters         looters retool
loots           loots tool
lose            lose sol
loss            loss sol
losses          losses sol
lost            lost sol
lot             to lot
loud            duo loud
lung            gnu lung
mac             mac am
mace            mace cam
mack            mack cam
macs            macs cam
mad             mad am
madam           madam
madams          madams madam
maddened        maddened dam
made            made dam
mag             mag am
mall            mall am
mam             mam, mam am, ma mam
mama            mama mam
mamma           am mamma
mammals         slam mammals
mams            mams mam
man             man am
manikin         manikin am
map             map am, pa map
maps            spa maps
mar             mar am
march           march cram
mare            mare ram, era mare
mares           sera mares
marge           marge gram
mark            mark ram
mars            mars ram
mart            mart ram
martini         martini tram
marts           marts tram
mas             mas am
masks           masks am
mass            mass am
masts           masts am
mat             mat am, ta mat
matt            matt am
maw             maw am
max             max am
maxed           maxed exam
maxes           maxes exam
may             may am
mayo            mayo yam
mean            nae mean
media           media idem, aide media
medic           medic idem
meet            tee meet
meets           meets teem
mega            mega gem, age mega
memos           some memos, so memos
meow            woe meow
mere            ere mere
merit           tire merit
metal           late metal
metals          slate metals
mew             we mew
mimes           semi mimes
mimetic         cite mimetic
minim           minim, mini minim
minima          minima minim
minims          minims minim
mire            mire rim
mirror          mirror rim
mirth           mirth trim
mod             do mod
mom             mom, mo mom
momma           ammo momma, am momma
moms            moms mom
moods           moods doom
moody           moody doom
moors           moors room
moot            too moot
mope            mope pom
mops            mops pom
morph           morph prom
mote            mote tom
moth            moth tom
much            much cum
muck            muck cum
mud             mud um
muff            muff um
mug             mug um
mugs            mugs gum
mull            mull um
mum             mum, mum um
mums            mums mum
murdered        murdered rum
murk            murk rum
muse            muse sum
muses           muses um
mush            mush sum
musk            musk sum
muss            muss um, muss sum
musses          musses sum
must            must sum
musts           musts um
mute            mute tum
mutt            mutt um, mutt tum
myriad          dairy myriad
naan            naan
naans           naans naan
nab             nab an
nabob           nabob an
nabs            nabs ban
nae             nae an
naff            naff an, naff fan
nag             nag an
nah             nah an, ha nah
name            name man
nan             nan, nan an
nans            nans nan
nap             nap an, pa nap
nape            nape pan
naps            naps pan, spa naps
narc            narc ran
nark            nark ran
naval           lava naval
nave            nave van
navy            navy van
nay             nay an
nets            nets ten
nett            nett ten
never           never even
new             we new
nib             nib in
nibs            nibs bin
niece           niece in
niff            niff in, niff fin
nigh            nigh gin
nil             nil in
ninepins        snipe ninepins
nip             nip in, pi nip
nips            nips pin
nit             nit in, ti nit
nits            nits tin
nix             nix in
nob             nob on
nod             nod on, do nod
nodded          nodded don
node            node don
nods            nods don
noes            noes eon
noises          noises ion
nonstop         pots nonstop
noon            noon
noose           noose soon
nor             nor on
nose            nose son
noses           noses on
nosh            nosh son
nosy            nosy son
not             not on, to not
note            note ton
notelet         notelet on
now             now on
nowt            nowt won, two nowt
nude            nude dun
nun             nun
nuns            nuns nun
nurses          nurses run
oaf             fa oaf
oaks            ska oaks
odd             odd do
ode             ode do
odor            rod odor
ogres           ogres ergo
ohs             sh ohs
oiks            ski oiks
oiled           deli oiled
okay            yak okay
okra            ark okra
old             old lo
ole             ole lo
olive           evil olive
one             one no
onus            sun onus
onward          drawn onward
